depths,Bugaev,Bugaev_lower,Bugaev_upper
0.0,3.324759615384615e-05,3.058778846153846e-05,3.5907403846153845e-05
10.0,3.2241063445714874e-05,2.9661778370057684e-05,3.482034852137206e-05
110.0,2.3737812223178732e-05,2.1838787245324434e-05,2.5636837201033034e-05
210.00000000000003,1.751961970326293e-05,1.6118050127001898e-05,1.8921189279523967e-05
310.00000000000006,1.2965059542912783e-05,1.1927854779479761e-05,1.4002264306345806e-05
410.00000000000006,9.623218827695506e-06,8.853361321479865e-06,1.0393076333911147e-05
510.0,7.166542105656186e-06,6.5932187372036914e-06,7.739865474108682e-06
610.0000000000001,5.356817984737198e-06,4.928272545958223e-06,5.785363423516175e-06
710.0000000000001,4.020615361832707e-06,3.698966132886091e-06,4.342264590779324e-06
810.0,3.0315233026257296e-06,2.7890014384156715e-06,3.2740451668357882e-06
910.0,2.29729579722392e-06,2.1135121334460065e-06,2.4810794610018336e-06
1010.0,1.75053683858953e-06,1.6104938915023677e-06,1.8905797856766927e-06
1110.0,1.3419438496565276e-06,1.2345883416840053e-06,1.4492993576290498e-06
1210.0000000000002,1.0354018905424458e-06,9.525697392990502e-07,1.1182340417858415e-06
1310.0,8.044181815783239e-07,7.40064727052058e-07,8.687716361045899e-07
1410.0000000000002,6.295282508830567e-07,5.791659908124121e-07,6.798905109537012e-07
